brand,name,old_price,old_price_cent,new_price,new_price_cent,reviews_rating_number,reviews_amount
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,4.8,(7707)
PUMA,Puma Skyrocket Lite Masculino Adultos,499,99,247,49,,
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,217,79,4.7,(234)
PUMA,Tênis De Corrida Scend Pro Puma Tênis De Corrida,399,90,39,99,,
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,124,99,4.7,(1769)
PUMA,Tênis De Corrida Retaliate 2 Puma Tênis De Corrida,399,90,39,99,,
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,228,78,4.6,(597)
PUMA,Tênis De Corrida Skyrocket Lite Puma Tênis De Corrida,349,90,34,99,,
PUMA,Tênis De Corrida Night Runner V3 Puma Tênis De Corrida,299,90,33,32,,
NEW BALANCE,Tênis New Balance Fresh Foam Garoe Masculino Mtgarorr,749,44,74,94,5.0,(4)
OLLIE,Kit 2 Tênis Street Ollie Masculino Kings Conforto,299,98,218,98,4.7,(194)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(1561)
MIZUNO,Mizuno Wave Rider 26 Masculino Adultos,1.099,90,692,93,,
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,99,210,99,4.8,(5697)
NIKE,Tênis Nike Precision 6 Masculino,379,99,38,,5.0,(2)
FILA,Tênis Fila Kr6 Masculino,466,83,326,20,4.8,(20)
VIA LIVRE,Tênis Masculino Corrida Advanced Aero Academia Leve Macio,149,90,79,44,,
HANKOOK,Sapatênis Masculino Marrom Confortável Elástico,78,90,26,30,,
HANKOOK,Sapatênis Masculino Branco Confortável Elástico,69,90,23,30,,
OLYMPIKUS,Tenis Casual Masculino Olympikus Versa Branco,321,05,288,90,5.0,(2)
OLYMPIKUS,Tênis Running Masculino Olympikus Poseidon Marinho E Branco,246,94,30,87,,
OLLIE,Tênis Masculino Casual Ollie Street Plazza Original Azul,160,48,32,10,,
NIKE,Tênis Nike Flex Experience 12 Masculino,299,99,29,08,5.0,(1)
OLYMPIKUS,Tênis Masculino Olympikus Rayo Original,269,99,202,49,5.0,(2)
OLLIE,Tênis Esportivo Masculino Ollie Stones,129,99,12,64,,
,Tênis Masculino Ollie Promax 2,139,99,13,61,5.0,(2)
OLYMPIKUS,Tênis Masculino Corre Trilha Olympikus Novo,599,99,478,99,5.0,(2)
UNDER ARMOUR,Tênis Masculino E Feminino Tribase Reps Under Armour Novo,449,99,358,99,5.0,(2)
WONDER,Tenis Masculino Adventure Confortavel Duravel Wonder,124,90,12,14,,
WONDER,Kit Tenis Adventure + Palmilha Ortopedica Em Gel Confortável,139,90,13,60,,
,Tênis Esportivo Masculino Ollie Biker,139,99,113,99,5.0,(2)
OLYMPIKUS,Tenis Casual Masculino Olympikus Versa Preto ,321,05,252,70,,
OLYMPIKUS,Tênis Olympikus Corre Vento 2 Masculino- Laranja,399,90,39,99,5.0,(2)
FRANBOOTS,Sapatenis Casual Masculino Confortável,78,99,26,33,,
NEW BALANCE,Tênis New Balance 411 V3 Masculino,359,90,324,41,,
VIA LIVRE,Tênis Masculino Advanced Running Ultra Leve Macio Academia,131,90,117,39,,
VANS,Vans Suede Canvas Ward Feminino Adultos,449,99,45,,4.3,(12)
FRANBOOTS,Tênis Masculino Casual Amortecimento Air Plus Confortável,78,99,26,33,,
FILA,Tênis Fila Kenya Racer Kr6 Alta Performance Masculino,599,99,365,99,5.0,(3)
UNDER ARMOUR,Tênis Under Armour Charged Quicker Masculino,444,33,349,90,,
OLLIE,Kit 3 Tênis Street Ollie Masculino Rocky Conforto,449,97,292,48,5.0,(2)
OLLIE,Kit 2 Tênis Street Ollie Masculino Space2 Conforto,279,98,204,38,5.0,(3)
OLLIE,Kit 2 Tênis Street Ollie Masculino Alpha2 Conforto,339,98,248,18,5.0,(5)
LORENZZO LOPEZ,Kit Tênis Masculino Esportivo Academia E Corrida + Brindes,129,90,116,91,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino- Branco,279,90,31,10,5.0,(1)
FILA,Tênis De Corrida Masculino Fila Racer Gripper Original,329,99,227,43,,
FILA,Tênis Fila Venture Tracer Masculino Esportivo,444,33,44,43,,
OLLIE,Tênis Esportivo Masculino Fly Ollie,139,99,13,61,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino- Marinho-preto,279,90,31,10,4.8,(5)
CALVIN KLEIN,Tênis Calvin Klein Jeans Masculino Air Logo Azul Marinho,719,99,479,99,,
OLLIE,Tênis Masculino Cano Alto Premium Ollie 417 ,185,14,175,88,,
LORENZZO LOPEZ,Tênis Masculino Para Esportes Corrida E Caminhada ,69,90,6,79,,
PUMA,Tenis Masculino Puma Wired Run Softfoam Oftfoam - Original,369,99,236,79,,
OLYMPIKUS,Tênis Masculino Olympikus Cyber 4 Original,279,99,197,39,,
brand,name,old_price,old_price_cent,new_price,new_price_cent,reviews_rating_number,reviews_amount
NEW BALANCE,Tênis New Balance Fresh Foam Garoe Masculino Mtgarorr,749,44,74,94,5.0,(4)
MIZUNO,Tênis Mizuno Masculino Wave Mirai 5 Esportivo Corrida,529,90,386,82,5.0,(3)
,Tênis Masculino Academia Leve Olimp Confortável Original 23,109,99,93,49,4.4,(6621)
PUMA,Tênis De Corrida Scend Pro Puma Tênis De Corrida,399,90,39,99,,
PUMA,Tênis De Corrida Retaliate 2 Puma Tênis De Corrida,399,90,39,99,,
PUMA,Tênis De Corrida Skyrocket Lite Puma Tênis De Corrida,349,90,34,99,,
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,228,78,4.6,(597)
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,124,99,4.7,(1769)
